Id,Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,,,
bnyjtu7y68j0wlucbe07bnyjvk5tp69i,Wake,6,2,9,3,1,4,0,0,2,8,5,5,3,8,0,10,0,3,8,7,10,5,1,7,5,8,6,0,5,1,10/3/2023 4:14,10/3/2023 4:23,7d75c35afd
tzdy2n3r44spgzcmtzdy2ndjetowx0du,The Cuteness,0,0,3,8,0,10,1,7,10,0,10,0,1,8,5,1,10,1,10,10,7,1,4,5,4,1,2,1,10,0,10/3/2023 0:29,10/3/2023 0:36,25026f681a
5024awxafcrkgobqzm5024ab307n12y1,Borck,8,2,8,1,5,7,1,10,9,3,0,1,3,1,10,0,10,7,8,10,6,1,7,7,9,2,2,8,8,9,10/2/2023 18:53,10/2/2023 19:00,c53e1a6cfe
kpn3za046sge5x4qwz3jekpn3za04qz4,Snake Dr.,4,0,10,4,2,8,10,7,8,2,6,10,5,8,9,0,0,5,10,10,1,3,1,3,10,6,6,0,10,10,10/2/2023 17:38,10/2/2023 17:51,0a9e74feab
abwo6tcyq50o690vvih9abwo6th4xblm,Geoff,2,0,3,10,0,10,4,3,10,9,10,0,3,3,0,0,7,5,6,10,5,0,0,5,10,4,6,0,5,3,10/2/2023 16:50,10/2/2023 17:14,c5d6414c8f
e1pabd881s4b0re1pa3cenc47rcb6cn7,Nebu,9,10,8,10,5,3,2,3,8,2,10,9,1,9,10,2,5,7,10,8,2,0,5,8,1,4,6,0,1,5,10/2/2023 16:07,10/2/2023 16:13,3155b7de58
ny68960tos7ccxny682ccdjsmhrkfem6,Pat,5,0,10,0,4,6,10,10,10,3,10,5,4,3,10,3,10,7,10,6,7,3,6,7,8,6,10,0,6,10,10/2/2023 15:50,10/2/2023 16:12,b5a612ab8d
r2lnsz5236hxo8r1mes5vr2lnsz3hs0g,Dan,6,3,0,3,5,5,0,2,0,9,0,5,6,5,10,0,6,10,10,6,2,0,5,5,4,4,10,0,5,6,10/2/2023 15:47,10/2/2023 16:11,fab3532893
8mot1qvo4n105q85dutmb38mot1qvhjs,antonio,10,0,9,7,8,4,10,10,0,3,10,9,0,7,9,7,3,3,4,7,2,3,6,3,8,6,6,0,10,9,10/2/2023 15:51,10/2/2023 16:01,8cb0d1cea4
zwdt44rx2xt8qsqulty1zwdt4ekyx954,Casper,9,2,3,10,5,3,10,0,10,0,10,9,5,2,10,5,10,2,8,5,5,0,3,9,10,2,7,3,8,10,10/2/2023 15:54,10/2/2023 16:01,1fe54de6be
lankngzd1v9kxt4nzeqkeolankngzzl3,Ralph,5,0,10,2,3,8,3,9,10,5,10,5,0,7,0,0,10,3,4,0,10,0,4,7,10,5,7,0,5,10,10/2/2023 15:49,10/2/2023 15:57,e62882c0b5
937pccargm3xvx937p4ft6lfxx25iv4f,Scotty Boy,7,3,7,7,7,10,10,10,3,0,8,7,0,9,0,7,3,3,10,8,,3,8,,3,2,3,10,5,4,10/2/2023 15:38,10/2/2023 15:46,491bd4030a
1fqhiog4cnmlxjt1fqhiamoqrfn9xc11,Andre,8,0,10,2,5,3,7,10,0,8,0,,0,7,6,3,10,7,9,5,10,10,6,8,8,7,8,0,6,10,10/2/2023 15:38,10/2/2023 15:42,0c564373c2
